"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Nettopreis";"ext_Hersteller";"ext_Herstellerartikelnummer HAN";"ext_Produktkategorie ID"
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fsony-ericsson%2Foriginalakku-fuer-sony-ericsson-s500i-k770i-bst-38%3FsPartner%3Dadcell";"Originalakku für Sony Ericsson S500i K770i BST-38";"Originalakku für Sony Ericsson S500i K770i baugl. org. Hersteller-Bez.: BST-38 Li-Poly  3,7V  930mAh";"Originalakku für Sony Ericsson S500i K770i baugl. org. Hersteller-Bez.: BST-38 Li-Poly  3,7V  930mAh";"17,90";"";"Euro";"4038338212464";"1246";"";"";"https://akkuwelt.de/media/image/0f/8b/29/2_4182_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/0f/8b/29/2_4182_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>SONY-ERICSSON";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fapple%2Fersatz-akku-fuer-apple-3g-iphone-616-0366%3FsPartner%3Dadcell";"Ersatz Akku für Apple 3G IPhone 616-0366";"  Ersatzakku für Apple 3G IPhone  616-0366 Li-Polymer 3.7V 4,26Wh kompatibler Akku - kein Originalakku    ";"  Ersatzakku für Apple 3G IPhone  616-0366 Li-Polymer 3.7V 4,26Wh kompatibler Akku - kein Originalakku    ";"18,90";"";"Euro";"4013674013803";"4649";"";"";"https://akkuwelt.de/media/image/de/30/2f/2_4779_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/de/30/2f/2_4779_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>APPLE";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fsamsung%2Foriginalakku-fuer-samsung-galaxy-s-i9000-sl-i9003-s-plus-i9001%3FsPartner%3Dadcell";"Originalakku für Samsung Galaxy S i9000 SL i9003 S Plus i9001";"Originalakku für Samsung Galaxy S i9000 SL i9003 S Plus i9001 baugl. org. Hersteller-Bez.: EB575152VU Li-Ion  3,7V  1650mAh";"Originalakku für Samsung Galaxy S i9000 SL i9003 S Plus i9001 baugl. org. Hersteller-Bez.: EB575152VU Li-Ion  3,7V  1650mAh";"17,90";"";"Euro";"4038338120158";"01896-12015x1";"";"";"https://akkuwelt.de/media/image/54/6d/98/2_4173_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/54/6d/98/2_4173_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>SAMSUNG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fsamsung%2Foriginalakku-fuer-samsung-galaxy-gt-i9003-galaxy-s-scl%3FsPartner%3Dadcell";"Originalakku für Samsung Galaxy GT-i9003 Galaxy S scl";"Originalakku für Samsung Galaxy GT-i9003 Galaxy S scl baugl. org. Hersteller-Bez.: EB575152VU Li-Ion  3,7V  1650mAh";"Originalakku für Samsung Galaxy GT-i9003 Galaxy S scl baugl. org. Hersteller-Bez.: EB575152VU Li-Ion  3,7V  1650mAh";"17,90";"";"Euro";"4038338120158";"01896-12015x2";"";"";"https://akkuwelt.de/media/image/b7/b4/13/2_4173_lrg56a62f45ccc51_1280x1280.jpg";"https://akkuwelt.de/media/image/b7/b4/13/2_4173_lrg56a62f45ccc51_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>SAMSUNG";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fmotorola%2Foriginal-akku-fuer-motorola-milestone-xt720-dext-mb200-droid-2-xt610-droid-pro-droid-a855%3FsPartner%3Dadcell";"Original Akku für Motorola Milestone XT720 Dext MB200 Droid 2 XT610 Droid Pro...";"Originalakku für Motorola Milestone XT720 Dext MB200 Droid 2 XT610 Droid Pro Droid A855 Org. Hersteller-Bez.: BP6X, BP-6X   Li-Poly  3,7V  1390mAh";"Originalakku für Motorola Milestone XT720 Dext MB200 Droid 2 XT610 Droid Pro Droid A855 Org. Hersteller-Bez.: BP6X, BP-6X   Li-Poly  3,7V  1390mAh";"18,90";"";"Euro";"5025322411636";"12159";"";"";"https://akkuwelt.de/media/image/2f/86/96/2_4813_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/2f/86/96/2_4813_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>MOTOROLA";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fmotorola%2Foriginal-akku-fuer-motorola-c975-c980-e1000-rizr-v1050-v360-v975-v980-k3-v235-w205-w208-w218-w220%3FsPartner%3Dadcell";"Original Akku für Motorola C975 C980 E1000 RIZR V1050 V360 V975 V980 K3 V235 ...";"Originalakku für Motorola C975  MOTOKRZR K3   C980 V975 W220 E1000 V980 W230 RIZR V1050 W375 V235 W205 W377 V360 W208 W510   W218   Org. Hersteller-Bez.: BT-50 Li-Ion  3,7V...";"Originalakku für Motorola C975  MOTOKRZR K3   C980 V975 W220 E1000 V980 W230 RIZR V1050 W375 V235 W205 W377 V360 W208 W510   W218   Org. Hersteller-Bez.: BT-50 Li-Ion  3,7V  910mAh";"18,90";"";"Euro";"5711045229794";"12943";"";"";"https://akkuwelt.de/media/image/dd/b4/fb/2_4812_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/dd/b4/fb/2_4812_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>MOTOROLA";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-ba-s460-wildfire-35h00154-01m-bd29100%3FsPartner%3Dadcell";"Originalakku für HTC BA S460 Wildfire 35H00154-01M BD29100";"Originalakku für HTC BA S460 BA S540 Wildfire  Marvel  Explorer HD Mini HD3 HD7 Grove baugl. org. Hersteller-Bez.: BD29100 PG76100   35H00143-01M 35H00154-04M 35H00154-01M Li-Ion&nbs...";"Originalakku für HTC BA S460 BA S540 Wildfire  Marvel  Explorer HD Mini HD3 HD7 Grove baugl. org. Hersteller-Bez.: BD29100 PG76100   35H00143-01M 35H00154-04M 35H00154-01M Li-Ion  3,7V  1230mAh";"19,90";"";"Euro";"4038338138115";"13811";"";"";"https://akkuwelt.de/media/image/b0/84/b6/2_4171_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/b0/84/b6/2_4171_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-incredible-s-ba-s520-35h00152-03m%3FsPartner%3Dadcell";"Originalakku für HTC Incredible S BA S520 35H00152-03M";"Originalakku für HTC Incredible S 35H00152-01M    35H00152-03M  BA S520 BG32100 Li-Ion  3,7V  1450mAh";"Originalakku für HTC Incredible S 35H00152-01M    35H00152-03M  BA S520 BG32100 Li-Ion  3,7V  1450mAh";"19,90";"";"Euro";"4710937349658";"14121";"";"";"https://akkuwelt.de/media/image/0f/12/33/2_4794_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/0f/12/33/2_4794_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-desire-z-7-mozart-ba-s450-bb96100-35h00140-06m-35h00140-02m%3FsPartner%3Dadcell";"Originalakku für HTC Desire Z 7 Mozart BA S450 BB96100 35H00140-06M 35H00140-02M";"Original Akku HTC Desire Z 7 Mozart BA S450 BAS450 baugl. org. Hersteller-Bez.: 35H00140-00M 35H00140-02M 35H00140-06M   BB96100 Li-Ion  3,7V  1300mAh";"Original Akku HTC Desire Z 7 Mozart BA S450 BAS450 baugl. org. Hersteller-Bez.: 35H00140-00M 35H00140-02M 35H00140-06M   BB96100 Li-Ion  3,7V  1300mAh";"18,90";"";"Euro";"4038338039214";"14213";"";"";"https://akkuwelt.de/media/image/10/8c/3b/2_4461_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/10/8c/3b/2_4461_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
"https://t.adcell.com/p/click?promoId=138763&slotId=82056&param0=https%3A%2F%2Fakkuwelt.de%2Fakkus%2Fhandyakkus-smartphone-akkus%2Fhtc%2Foriginalakku-fuer-htc-legend-buzz-wildfire-ba-s420-35h00127-04m%2Fb%3FsPartner%3Dadcell";"Originalakku für HTC Legend Buzz Wildfire BA S420 35H00127-04M / B";"Originalakku für HTC Buzz HTC Legend  Wildfire 35H00127-04M BA S420 Li-Ion  3,7V  1300mAh";"Originalakku für HTC Buzz HTC Legend  Wildfire 35H00127-04M BA S420 Li-Ion  3,7V  1300mAh";"18,90";"";"Euro";"4250407279592";"14805";"";"";"https://akkuwelt.de/media/image/84/81/a4/2_4168_lrg_1280x1280.jpg";"https://akkuwelt.de/media/image/84/81/a4/2_4168_lrg_1280x1280.jpg";"Akkus>Handyakkus / Smartphone-Akkus>HTC";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"5,95";"1-3 Tage";"";"";"";"";"Div.";"";""
